group,rows,pct_m0_down_close_open,pct_m0_down_prev_close,pct_m0_low_below_open,pct_m0_low_below_prev_close,avg_m0_change,median_m0_change,avg_m0_open_minus_low,median_m0_open_minus_low,avg_prev_block_change
all_data__all,16745,48.486115258286056,48.61152582860556,93.56225739026574,92.8754852194685,0.009350851000303318,0.020000000000436557,1.0542221558674212,0.569999999999709,0.08037921767692056
all_data__prev_15m_up,8683,48.66981458021421,48.508579983876544,93.1360128987677,92.59472532534838,0.012539444892322421,0.01999999999998181,0.9786295059311253,0.5499999999997272,3.583974432799728
all_data__prev_15m_not_up,8062,48.288265938972955,48.72240138923344,94.0213346564128,93.17787149590673,0.00591664599355538,0.03000000000020009,1.1356375589183831,0.5900000000001455,-3.6930910444058553
all_data__prev_15m_down,8028,48.26856003986049,48.71699053313403,93.9960139511709,93.14897857498754,0.00649227703039899,0.03000000000020009,1.1373318385650228,0.5900000000001455,-3.7087319382162436
ny_session_broad__all,8053,48.590587358748294,48.540916428660125,93.54277908853842,92.77287967217185,0.008583136719239402,0.01999999999998181,1.1314007202284855,0.5900000000001455,0.0347547497826906
ny_session_broad__prev_15m_up,4186,49.020544672718586,48.4472049689441,93.11992355470616,92.37935977066411,-0.007293358815094191,0.010000000000218279,1.0430888676540793,0.5650000000000546,3.7305828953655094
ny_session_broad__prev_15m_not_up,3867,48.12516162399793,48.642358417377814,94.00051719679338,93.19886216705456,0.025769330230157535,0.03999999999996362,1.2269976726144338,0.6199999999998909,-3.965952935091807
ny_session_broad__prev_15m_down,3851,48.06543754868865,48.58478317320177,93.97559075564789,93.17060503765255,0.02608153726305365,0.03999999999996362,1.229002856400939,0.6199999999998909,-3.9824305375227254
ny_session_config__all,3075,48.422764227642276,48.03252032520325,93.0081300813008,92.58536585365854,-0.018585365853657235,0.020000000000436557,1.2103447154471554,0.6300000000001091,0.20408455284552665
ny_session_config__prev_15m_up,1636,48.4718826405868,47.43276283618582,92.84841075794621,92.42053789731052,-0.03955990220048304,0.01999999999998181,1.1501650366748084,0.6150000000000091,3.955226161369194
ny_session_config__prev_15m_not_up,1439,48.36692147324531,48.71438498957609,93.18971507991661,92.77275886031967,0.005260597637244095,0.03000000000020009,1.2787630298818737,0.650000000000091,-4.060590687977767
ny_session_config__prev_15m_down,1432,48.324022346368714,48.6731843575419,93.15642458100558,92.73743016759776,0.006794692737426052,0.03000000000020009,1.279804469273754,0.6550000000002001,-4.080439944134082
