slot,rows,pct_down_close_open,pct_down_prev_close,avg_ret_close_open,median_ret_close_open,avg_ret_prev_close,block_low_hits,block_high_hits,pct_block_low,pct_block_high
0,16745,0.48486115258286056,0.48611525828605556,0.009350851000303318,0.020000000000436557,0.009986861749778688,3382.1666666666665,3082.0,0.19974998031341049,0.18202220647295062
1,16917,0.48081811195838503,0.47939942070106994,0.00017201631494789143,0.02999999999974534,0.026637502955779647,1422.0,1280.8333333333333,0.08398299078667612,0.07564572013544373
2,16922,0.48889020210377027,0.48741283536225033,0.014639522515069007,0.010000000000218279,0.012749084032621079,1059.8333333333333,1028.6666666666667,0.06259351130010236,0.060752815182297824
3,16922,0.48558090060276565,0.4869991726746247,0.02081491549462287,0.019999999999527063,0.021770476303037096,916.0,863.3333333333334,0.0540987479329081,0.050988266792660844
4,16924,0.49019144410304893,0.489659654927913,0.008375088631528693,0.009999999999763531,0.007832072796027571,769.6666666666666,778.1666666666666,0.045456335144499566,0.04595834317662808
5,16925,0.4892171344165436,0.4882717872968981,-0.009380797636630722,0.010000000000218279,-0.012931166912848267,842.6666666666666,845.3333333333334,0.049767698243956215,0.049925190959918105
6,16925,0.48909896602658787,0.4910487444608567,0.009169276218608623,0.010000000000218279,0.010157754800587327,788.5,771.5,0.04656862745098039,0.045564611386723367
7,16925,0.48088626292466763,0.4817134416543575,0.03040531757754839,0.02999999999974534,0.028433677991140584,755.8333333333334,737.5,0.04463934168044728,0.043556579258209306
8,16926,0.4876521328134231,0.48564338886919534,0.016899444641378807,0.010000000000218279,0.01678896372444612,644.6666666666666,715.5,0.03807386408378612,0.04225726435152374
9,16929,0.48833362868450586,0.48774292633941757,0.001629747770099596,0.010000000000218279,0.0017396184062855456,683.1666666666666,739.3333333333334,0.04034766517048586,0.04366485550043311
10,16927,0.4970756779110297,0.49618951970225084,0.01078868080581628,0.0,0.008366515035153649,824.8333333333334,820.8333333333334,0.0487144657059611,0.04847822663201827
11,16925,0.49548005908419496,0.4995568685376662,-0.01162895125553824,0.0,-0.010726144756279253,805.8333333333334,846.1666666666666,0.047592330104732655,0.04997440743365619
12,16923,0.4903976836258347,0.4915204160018909,-0.0196147255214804,0.009999999999763531,-0.02085564025291164,968.5,954.0,0.057199385778407746,0.05634301913536499
13,16926,0.489070069715231,0.48853834337705304,0.013922958761667706,0.010000000000218279,0.014786718657685256,1050.0,1191.5,0.06201275690999291,0.07036971415072053
14,16926,0.48777029422190715,0.48853834337705304,-0.013278388278388628,0.010000000000218279,-0.012011697979439214,2018.3333333333333,2277.3333333333335,0.11920229939365304,0.1344987794314513
