total_profit_usd,trades,wr_min,wr_max,min3chg,hold,stop
317.3899999999958,374,-60,-10,-3,30,7
311.06999999999925,412,-60,-10,-3,15,7
284.51999999999543,149,-60,-30,-5,10,6
280.5499999999993,411,-60,-10,-3,15,8
278.48999999999614,368,-60,-10,-3,30,8
271.9899999999975,80,-60,-30,-7,10,6
267.0399999999945,384,-60,-10,-3,30,6
265.10999999999376,200,-60,-10,-5,10,6
264.4699999999989,416,-60,-10,-3,15,6
264.1499999999992,493,-70,-10,-3,15,7
261.7499999999941,515,-80,-10,-3,30,7
255.83999999999742,90,-60,-20,-7,10,6
255.46999999999525,349,-60,-20,-3,30,7
252.58999999999105,186,-60,-20,-5,10,6
250.68999999999778,97,-60,-10,-7,10,6
246.1599999999944,148,-60,-30,-5,10,7
244.54999999999154,435,-60,-10,-3,10,6
242.58999999999787,497,-70,-10,-3,15,6
241.67999999999438,147,-60,-30,-5,10,8
238.99999999999545,199,-70,-30,-5,10,6
